angostura (cusparia bark),ESO/SP
anhydrous ammonia,REG
anhydrous ammonia,FEED
"animal protein hydrolysate, cond",REG
"animal protein hydrolysate, cond",FEED
"anise, star anise",SP/ESO
"anise, star anise",GRAS
anoxomer,AOX
anoxomer,REG
antibiotics for growth promotion and feed efficiency,REG
antibiotics for growth promotion and feed efficiency,FEED
"anthracite coal, sulfonated",ASTM
"anthracite coal, sulfonated",REG
"anthracite coal, sulfonated",MISC
apramycin,REG
apricot kernel (persic oil),GRAS
apricot kernel (persic oil),NAT
arabinogalactan,GMP
arabinogalactan,REG
arabinogalactan,EMUL
arabinogalactan,MISC
arginine (l form only),NUTR/DS
arginine (l form only),REG
arnica flower extract,GMP
arnica flower extract,REG
arnica flower extract,FL/ADJ
arsanilic acid,REG
arsanilic acid,FEED
arsenic,REG
arsenic,FEED
artemisia,GMP
artemisia,REG
artemisia,FL/ADJ
artichoke leaves,GMP
artichoke leaves,REG
artichoke leaves,FL/ADJ
asafoetida,ESO
asafoetida,GRAS
ascorbic acid,PRES
ascorbic acid,MISC
ascorbic acid,GRAS
ascorbic acid,GMP
ascorbic acid,NUTR
ascorbic acid,GRAS/FS
ascorbyl palmitate,GRAS
asparagine (l-form),NUTR/DS
asparagine (l-form),REG
aspartame,GMP
aspartame,NUTRS
aspartame,REG
aspartic acid (l-form),NUTR/DS
aspartic acid (l-form),REG
aspergillus niger,REG
aspergillus niger,MISC
azaperone,REG
azaperone,VET
azodicarbonamide,REG/FS
"bacitracin, manganese bacitracin, zinc bacitracin, bacitracin methylene disalicylate",REG
"bacitracin, manganese bacitracin, zinc bacitracin, bacitracin methylene disalicylate",FEED/VET
"bacteria (harmless, lactic acid producing; propionic acid producing)",MISC
bacterial catalase,APC
bacterial catalase,EMUL/STAB
bacterial catalase,REG
bacterial catalase,GMP
bakers yeast protein (saccharomyces cerevisiae),APC
bakers yeast protein (saccharomyces cerevisiae),REG
bakers yeast protein (saccharomyces cerevisiae),NUTR
balm (lemon balm),SP/ESO
balm (lemon balm),GRAS
balsam of peru,ESO
balsam of peru,GRAS
bambermycins,REG
bambermycins,FEED
basil,ESO
basil,GRAS
basil (bush and sweet),GRAS
"bay, bay leaves",SP/ESO
"bay, bay leaves",GRAS
"bay, (myrcia oil)",ESO
"bay, (myrcia oil)",GRAS
"beeswax (bleached, white wax)",MISC
"beeswax (bleached, white wax)",GRAS
beeswax (yellow wax),MISC
beeswax (yellow wax),GRAS
"beeswax, white (cire d'abeille)",GMP
"beeswax, white (cire d'abeille)",REG
"beeswax, white (cire d'abeille)",FL/ADJ
bentonite,GMP
bentonite,CFR
bentonite,FEED
bentonite,GRAS
benzathine cloxacillin,REG
benzathine cloxacillin,VET
benzene,REG
benzene,MISC
benzoic acid,PRES
benzoic acid,GRAS
benzoin resin,GMP
benzoin resin,REG
benzoin resin,FL/ADJ
bergamot (bergamot orange),ESO
bergamot (bergamot orange),GRAS
beta-carotene,GMP
beta-carotene,NUTR
beta-carotene,GRAS
bha (butylated hydroxyanisole),BHT
bha (butylated hydroxyanisole),AOX/FS
bha (butylated hydroxyanisole),BHA
bha (butylated hydroxyanisole),GRAS
bha (butylated hydroxyanisole),AOX
bha (butylated hydroxyanisole),REG
